IP地址,ICMP_RTT_ms,ICMP_Min_ms,ICMP_Max_ms,ICMP_丢包率%,CF_Colo,落地城市,落地国家,TCP_平均RTT_ms,TCP_443中位数RTT_ms,TCP_443_Jitter_ms,TCP_443_有效轮数,TCP_可达端口,TCP_总端口,TCP_80_RTT_ms,TCP_443_RTT_ms,TCP_2052_RTT_ms,TCP_2083_RTT_ms,TCP_2086_RTT_ms,TCP_2087_RTT_ms,TCP_2095_RTT_ms,TCP_2096_RTT_ms,路由跳数,路由落地(推测),路由落地证据,路由质量等级,路由质量描述,电信回程,联通回程,移动回程,联通评分,电信评分,移动评分,下载速度_MB/s,综合评分,延迟评分,稳定性评分,速度评分,路由评分,落地评分,质量等级,质量分数,适合CF优选,稀有优质段,优选说明,稀有说明
108.162.198.33,33.5,33.0,34.0,0.0,NRT,日本东京,JP,54.4,51.4,3.8,3,8,8,45.9,51.4,73.9,45.6,33.1,35.3,73.4,76.8,11,,,unknown,未检测到三网骨干,-,-,-,97,100,90,23.6,79.6,88,88,88,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.113,34.5,34.0,35.0,0.0,NRT,日本东京,JP,51.7,56.8,5.9,4,8,8,33.1,56.8,54.0,52.4,32.8,58.0,69.3,57.3,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,23.0,79.6,88,88,88,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.79,35.5,35.0,36.0,0.0,NRT,日本东京,JP,55.8,51.2,6.7,4,8,8,73.7,51.2,32.6,32.5,72.9,72.9,55.9,54.5,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,29.4,79.6,88,88,88,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.17,56.0,56.0,56.0,0.0,NRT,日本东京,JP,52.0,55.8,3.9,3,8,8,36.1,55.8,75.3,35.2,50.1,57.5,51.8,54.0,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,21.9,79.6,88,88,88,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.214,69.5,69.0,70.0,0.0,NRT,日本东京,JP,53.8,53.8,1.6,3,8,8,53.3,53.8,54.2,77.4,72.8,53.7,32.3,32.7,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,16.4,77.5,88,100,75,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.37,32.0,31.0,33.0,0.0,NRT,日本东京,JP,55.8,43.6,18.2,4,8,8,34.5,43.6,53.7,61.8,77.6,46.4,73.6,54.9,11,,,unknown,未检测到三网骨干,-,-,-,97,100,90,21.1,76.9,100,50,88,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.80,34.0,33.0,35.0,0.0,NRT,日本东京,JP,50.0,41.4,20.5,4,8,8,72.8,41.4,38.9,35.7,53.7,33.8,67.0,56.4,,,,unknown,未检测到三网骨干,-,-,-,100,100,98,21.1,76.9,100,50,88,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.106,51.5,51.0,52.0,0.0,NRT,日本东京,JP,47.8,42.6,21.2,4,8,8,54.8,42.6,53.2,51.4,51.1,51.1,32.3,46.3,,,,unknown,未检测到三网骨干,-,-,-,100,100,98,24.1,76.9,100,50,88,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.146,53.5,52.0,55.0,0.0,NRT,日本东京,JP,42.3,35.2,21.3,4,8,8,35.8,35.2,56.6,46.4,30.2,46.8,54.7,32.6,,,,unknown,未检测到三网骨干,-,-,-,100,100,98,21.7,76.9,100,50,88,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.232,53.5,53.0,54.0,0.0,NRT,日本东京,JP,53.9,42.8,24.0,4,8,8,81.2,42.8,52.6,35.0,56.1,71.9,36.0,55.5,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,24.7,76.9,100,50,88,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
