IP地址,ICMP_RTT_ms,ICMP_Min_ms,ICMP_Max_ms,ICMP_丢包率%,CF_Colo,落地城市,落地国家,TCP_平均RTT_ms,TCP_443中位数RTT_ms,TCP_443_Jitter_ms,TCP_443_有效轮数,TCP_可达端口,TCP_总端口,TCP_80_RTT_ms,TCP_443_RTT_ms,TCP_2052_RTT_ms,TCP_2083_RTT_ms,TCP_2086_RTT_ms,TCP_2087_RTT_ms,TCP_2095_RTT_ms,TCP_2096_RTT_ms,路由跳数,路由落地(推测),路由落地证据,路由质量等级,路由质量描述,电信回程,联通回程,移动回程,联通评分,电信评分,移动评分,下载速度_MB/s,综合评分,延迟评分,稳定性评分,速度评分,路由评分,落地评分,质量等级,质量分数,适合CF优选,稀有优质段,优选说明,稀有说明
108.162.198.157,54.5,54.0,55.0,0.0,NRT,日本东京,JP,44.5,41.0,15.2,4,8,8,34.7,41.0,52.6,46.0,37.3,35.2,35.2,73.8,,,,unknown,未检测到三网骨干,-,-,-,100,100,98,23.0,76.9,100,50,88,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.4,72.0,72.0,72.0,0.0,NRT,日本东京,JP,54.8,52.5,4.7,3,8,8,33.0,52.5,55.7,52.1,55.4,85.5,35.1,69.1,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,18.4,75.7,88,88,75,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.253,58.0,52.0,64.0,0.0,NRT,日本东京,JP,55.5,54.1,34.7,4,8,8,36.1,54.1,78.6,36.0,35.2,75.5,55.7,72.6,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,31.0,73.8,88,25,100,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.108,35.0,35.0,35.0,0.0,NRT,日本东京,JP,52.3,46.3,42.4,4,8,8,45.6,46.3,33.5,55.7,92.6,53.7,55.0,35.7,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,21.1,73.2,100,25,88,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.148,35.0,33.0,37.0,0.0,NRT,日本东京,JP,51.1,45.4,41.2,4,8,8,52.8,45.4,53.8,78.0,32.6,55.7,35.8,54.3,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,24.4,73.2,100,25,88,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.236,71.0,71.0,71.0,0.0,NRT,日本东京,JP,56.5,43.5,37.7,4,8,8,75.6,43.5,75.0,90.4,36.1,33.6,42.8,54.8,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,24.7,73.2,100,25,88,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.94,55.5,55.0,56.0,0.0,NRT,日本东京,JP,54.5,54.7,2.1,3,8,8,53.3,54.7,52.7,58.1,73.5,73.0,34.9,36.1,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,13.1,73.0,88,100,60,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.11,56.5,56.0,57.0,0.0,NRT,日本东京,JP,46.6,49.8,22.1,4,8,8,55.0,49.8,52.8,54.3,52.3,37.6,35.2,35.4,,,,unknown,未检测到三网骨干,-,-,-,100,100,98,17.0,73.0,100,50,75,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.152,50.0,50.0,50.0,0.0,NRT,日本东京,JP,52.3,52.1,5.1,3,8,8,75.7,52.1,53.9,44.9,53.4,36.0,52.2,50.5,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,10.3,71.2,88,88,60,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.16,53.5,53.0,54.0,0.0,NRT,日本东京,JP,48.4,53.1,5.9,3,8,8,32.6,53.1,74.8,31.7,33.3,32.7,75.0,54.3,,,,unknown,未检测到三网骨干,-,-,-,100,100,98,12.4,71.2,88,88,60,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.153,34.5,34.0,35.0,0.0,NRT,日本东京,JP,55.5,51.0,38.9,4,8,8,64.9,51.0,50.4,49.3,54.9,37.8,79.3,56.5,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,20.8,70.2,88,25,88,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.195,34.5,34.0,35.0,0.0,NRT,日本东京,JP,45.8,55.3,40.9,4,8,8,54.5,55.3,31.8,32.3,54.9,36.6,35.5,65.4,,,,unknown,未检测到三网骨干,-,-,-,100,100,98,24.1,70.2,88,25,88,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.19,35.0,35.0,35.0,0.0,NRT,日本东京,JP,55.5,52.8,37.1,4,8,8,34.5,52.8,66.0,71.1,54.1,71.5,58.6,35.5,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,21.0,70.2,88,25,88,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.168,50.0,50.0,50.0,0.0,NRT,日本东京,JP,45.6,54.0,37.7,4,8,8,46.4,54.0,34.5,51.8,36.9,35.1,53.8,52.2,,,,unknown,未检测到三网骨干,-,-,-,100,100,98,22.6,70.2,88,25,88,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.72,52.5,52.0,53.0,0.0,NRT,日本东京,JP,54.0,51.1,40.3,4,8,8,34.4,51.1,32.6,52.8,41.4,72.2,76.2,70.9,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,23.3,70.2,88,25,88,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.225,54.0,54.0,54.0,0.0,NRT,日本东京,JP,47.5,60.3,42.2,4,8,8,52.7,60.3,36.3,52.8,55.2,35.1,35.2,52.7,,,,unknown,未检测到三网骨干,-,-,-,100,100,98,23.0,70.2,88,25,88,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.234,54.5,54.0,55.0,0.0,NRT,日本东京,JP,54.0,64.4,40.3,4,8,8,53.4,64.4,36.4,54.2,53.9,32.4,54.2,83.4,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,21.9,70.2,88,25,88,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.116,30.5,30.0,31.0,0.0,NRT,日本东京,JP,46.3,34.8,0.9,3,8,8,36.1,34.8,50.8,33.5,54.2,35.5,54.0,71.8,11,,,unknown,未检测到三网骨干,-,-,-,100,100,98,5.6,70.0,100,100,40,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.205,51.0,51.0,51.0,0.0,NRT,日本东京,JP,58.2,61.7,16.6,4,8,8,55.6,61.7,54.2,71.6,76.8,35.6,77.5,32.3,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,17.6,70.0,88,50,75,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.59,35.5,35.0,36.0,0.0,NRT,日本东京,JP,57.6,34.4,54.2,4,8,8,47.1,34.4,94.1,34.2,32.5,94.0,78.1,46.3,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,15.5,69.2,100,25,75,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.26,53.5,53.0,54.0,0.0,NRT,日本东京,JP,49.6,49.9,37.7,4,8,8,35.1,49.9,35.1,53.6,31.2,67.5,73.6,51.0,,,,unknown,未检测到三网骨干,-,-,-,100,100,98,16.3,69.2,100,25,75,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.118,75.0,74.0,76.0,0.0,NRT,日本东京,JP,57.9,34.6,39.5,4,8,8,91.2,34.6,76.1,52.9,52.8,91.5,31.9,32.0,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,17.4,69.2,100,25,75,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.95,55.0,55.0,55.0,0.0,NRT,日本东京,JP,56.5,77.7,8.5,3,8,8,38.9,77.7,75.3,54.5,60.3,55.0,35.2,54.7,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,14.7,68.8,88,72,60,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.175,33.0,33.0,33.0,0.0,NRT,日本东京,JP,50.7,42.3,19.5,4,8,8,34.8,42.3,52.2,67.1,54.4,67.0,34.7,53.0,11,,,unknown,未检测到三网骨干,-,-,-,97,100,90,12.0,68.5,100,50,60,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.31,33.5,33.0,34.0,0.0,NRT,日本东京,JP,54.7,44.7,20.9,4,8,8,34.8,44.7,64.0,64.0,33.5,64.2,55.2,77.0,11,,,unknown,未检测到三网骨干,-,-,-,97,100,90,14.0,68.5,100,50,60,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.244,52.0,52.0,52.0,0.0,NRT,日本东京,JP,49.3,46.7,17.9,4,8,8,53.7,46.7,52.8,50.2,52.4,35.3,51.4,51.8,,,,unknown,未检测到三网骨干,-,-,-,100,100,98,10.6,68.5,100,50,60,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.22,53.5,53.0,54.0,0.0,NRT,日本东京,JP,57.4,40.8,18.0,4,8,8,36.5,40.8,55.5,69.9,52.8,52.4,67.7,83.3,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,11.1,68.5,100,50,60,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.55,34.0,33.0,35.0,0.0,NRT,日本东京,JP,46.9,54.4,20.7,4,8,8,54.1,54.4,35.2,35.3,53.1,35.2,52.5,55.9,11,,,normal,普通骨干(163),"电信163    [普通线路] [已确认] (202.97.62.102, 202.97.88.250)",-,-,100,100,98,14.7,67.5,88,50,60,50,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.3,55.5,55.0,56.0,0.0,NRT,日本东京,JP,50.5,53.3,2.7,4,8,8,70.0,53.3,53.9,51.9,55.2,35.0,32.7,52.3,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,9.7,67.0,88,100,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.2,55.5,55.0,56.0,0.0,NRT,日本东京,JP,58.5,77.1,2.3,3,8,8,42.3,77.1,35.4,75.7,76.0,51.0,55.8,54.4,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,5.7,67.0,88,100,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.52,56.0,55.0,57.0,0.0,NRT,日本东京,JP,51.6,76.4,2.9,3,8,8,36.1,76.4,53.6,36.6,70.7,50.9,53.1,35.5,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,7.0,67.0,88,100,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.242,73.0,73.0,73.0,0.0,NRT,日本东京,JP,53.8,76.5,2.1,4,8,8,54.0,76.5,69.0,57.2,54.0,34.2,35.7,49.5,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,6.4,67.0,88,100,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.42,74.0,74.0,74.0,0.0,NRT,日本东京,JP,59.5,55.0,2.9,3,8,8,55.3,55.0,55.4,58.5,44.3,60.0,89.7,57.7,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,8.1,67.0,88,100,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.163,34.5,34.0,35.0,0.0,NRT,日本东京,JP,59.8,60.9,40.8,4,8,8,32.4,60.9,93.6,77.5,46.5,46.4,74.2,46.6,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,17.8,66.2,88,25,75,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.164,71.0,71.0,71.0,0.0,NRT,日本东京,JP,56.0,36.2,62.6,4,8,8,54.6,36.2,37.1,52.1,67.2,54.2,73.4,72.8,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,18.7,66.2,100,5,75,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.202,71.0,71.0,71.0,0.0,NRT,日本东京,JP,58.2,62.2,40.1,4,8,8,54.7,62.2,55.8,78.3,53.2,62.2,52.3,47.2,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,15.1,66.2,88,25,75,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.87,75.5,75.0,76.0,0.0,NRT,日本东京,JP,65.6,58.3,47.3,4,8,8,75.6,58.3,75.7,54.5,75.2,74.5,73.5,37.3,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,17.6,66.2,88,25,75,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.252,35.5,35.0,36.0,0.0,NRT,日本东京,JP,45.6,33.4,13.4,4,8,8,78.3,33.4,37.3,45.4,43.4,35.6,54.7,36.6,,,,unknown,未检测到三网骨干,-,-,-,100,100,98,6.2,65.8,100,72,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.48,52.5,52.0,53.0,0.0,NRT,日本东京,JP,42.5,39.3,13.3,4,8,8,53.2,39.3,45.2,34.1,32.4,29.7,32.0,74.0,,,,unknown,未检测到三网骨干,-,-,-,100,100,98,6.0,65.8,100,72,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.132,72.0,71.0,73.0,0.0,NRT,日本东京,JP,50.6,48.9,9.0,4,8,8,69.0,48.9,55.0,35.4,55.0,33.5,34.3,73.6,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,5.3,65.8,100,72,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.144,55.5,55.0,56.0,0.0,NRT,日本东京,JP,52.8,69.3,27.7,4,8,8,48.0,69.3,57.0,46.4,46.4,46.3,53.6,55.2,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,12.2,65.5,88,50,60,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.220,72.5,68.0,77.0,0.0,NRT,日本东京,JP,62.7,71.5,21.6,3,8,8,57.2,71.5,73.8,83.8,33.4,56.3,73.2,52.8,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,14.3,65.5,88,50,60,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.136,34.5,34.0,35.0,0.0,NRT,日本东京,JP,47.5,74.0,5.5,3,8,8,34.0,74.0,33.1,34.3,54.0,31.7,53.6,64.9,,,,unknown,未检测到三网骨干,-,-,-,100,100,98,9.9,65.2,88,88,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.77,55.0,55.0,55.0,0.0,NRT,日本东京,JP,57.9,77.9,7.2,3,8,8,72.8,77.9,34.3,53.7,52.8,55.1,65.9,51.0,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,6.3,65.2,88,88,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.140,55.5,55.0,56.0,0.0,NRT,日本东京,JP,60.9,57.0,7.4,4,8,8,53.4,57.0,72.0,57.1,79.8,67.0,50.6,50.6,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,5.7,65.2,88,88,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.61,34.0,34.0,34.0,0.0,NRT,日本东京,JP,55.9,41.2,45.2,4,8,8,61.1,41.2,92.4,34.4,33.2,37.4,89.7,57.9,11,,,unknown,未检测到三网骨干,-,-,-,97,100,90,12.2,64.8,100,25,60,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.187,34.5,34.0,35.0,0.0,NRT,日本东京,JP,50.2,45.0,40.1,4,8,8,52.7,45.0,53.6,72.0,55.2,52.5,35.4,35.4,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,14.9,64.8,100,25,60,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.57,35.0,35.0,35.0,0.0,NRT,日本东京,JP,50.1,49.5,30.8,4,8,8,56.4,49.5,46.7,35.0,46.8,29.8,78.1,58.4,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,11.5,64.8,100,25,60,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.131,54.0,54.0,54.0,0.0,NRT,日本东京,JP,52.4,50.1,88.2,4,7,8,57.6,50.1,,33.9,71.4,53.5,50.6,49.9,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,16.8,63.2,88,5,75,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.117,74.0,74.0,74.0,0.0,NRT,日本东京,JP,54.7,71.6,14.3,4,8,8,34.7,71.6,71.4,51.0,53.8,54.3,67.9,32.4,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,8.0,62.8,88,72,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.138,32.0,29.0,35.0,0.0,NRT,日本东京,JP,59.6,42.5,19.6,4,8,8,74.7,42.5,53.8,74.5,54.7,53.3,35.7,87.9,11,,,unknown,未检测到三网骨干,-,-,-,97,100,90,7.4,62.5,100,50,40,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.227,35.5,35.0,36.0,0.0,NRT,日本东京,JP,58.3,51.4,56.9,4,8,8,73.4,51.4,57.2,88.5,72.6,36.3,30.7,56.4,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,14.1,61.8,88,25,60,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.114,36.0,36.0,36.0,0.0,NRT,日本东京,JP,54.0,61.6,39.7,4,8,8,93.5,61.6,46.7,56.1,50.0,33.6,33.2,57.2,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,10.2,61.8,88,25,60,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.124,36.0,35.0,37.0,0.0,NRT,日本东京,JP,65.9,51.9,40.3,4,8,8,45.5,51.9,90.4,84.1,75.8,53.4,73.6,52.6,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,10.3,61.8,88,25,60,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.199,50.0,50.0,50.0,0.0,NRT,日本东京,JP,51.1,56.2,59.3,4,8,8,54.3,56.2,48.2,47.4,61.3,35.9,52.1,53.4,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,10.3,61.8,88,25,60,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.177,51.0,51.0,51.0,0.0,NRT,日本东京,JP,54.1,54.2,41.8,4,8,8,34.8,54.2,33.4,77.1,92.0,34.1,55.4,52.0,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,11.2,61.8,88,25,60,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.21,55.0,55.0,55.0,0.0,NRT,日本东京,JP,56.2,52.1,44.4,4,8,8,50.0,52.1,55.4,76.2,74.5,35.2,31.0,75.0,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,14.7,61.8,88,25,60,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.34,55.0,54.0,56.0,0.0,NRT,日本东京,JP,64.7,54.3,38.7,4,8,8,83.8,54.3,90.4,78.3,34.2,45.0,56.4,75.1,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,14.2,61.8,88,25,60,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.51,72.0,71.0,73.0,0.0,NRT,日本东京,JP,54.3,54.6,43.1,4,8,8,54.7,54.6,33.0,53.7,58.7,71.2,73.8,34.4,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,11.0,61.8,88,25,60,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.185,32.5,32.0,33.0,0.0,NRT,日本东京,JP,47.6,52.8,2.0,3,8,8,35.5,52.8,36.0,46.1,61.2,36.0,76.9,36.5,11,,,normal,普通骨干(163),"电信163    [普通线路] [已确认] (202.97.39.189, 202.97.88.250)",-,-,100,100,98,1.7,61.5,88,100,15,50,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.32,54.0,53.0,55.0,0.0,NRT,日本东京,JP,59.9,47.0,7.5,3,8,8,49.1,47.0,52.5,65.0,75.1,64.5,32.1,94.1,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,4.2,60.7,100,88,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.123,50.5,50.0,51.0,0.0,,未知,??,52.0,62.4,57.5,4,7,8,,62.4,55.8,34.8,54.0,69.1,52.3,35.5,,,,unknown,未检测到三网骨干,-,-,-,57,57,57,17.4,60.2,88,25,75,40,40,premium,83,YES,NO,线路质量达标，可尝试优选,
108.162.198.86,32.5,32.0,33.0,0.0,NRT,日本东京,JP,52.8,56.2,4.3,4,8,8,36.2,56.2,72.1,57.0,53.9,56.3,36.3,54.5,11,,,normal,普通骨干(163),"电信163    [普通线路] [已确认] (202.97.12.210, 202.97.43.134)",-,-,97,100,90,4.9,59.7,88,88,15,50,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.109,32.0,32.0,32.0,0.0,NRT,日本东京,JP,48.4,54.1,29.5,4,8,8,33.2,54.1,85.6,35.0,35.9,53.4,54.4,35.6,11,,,unknown,未检测到三网骨干,-,-,-,100,100,98,6.5,59.5,88,50,40,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.81,32.5,32.0,33.0,0.0,NRT,日本东京,JP,52.4,53.5,2.4,3,8,8,53.6,53.5,51.4,45.6,34.9,32.2,73.1,74.5,11,,,unknown,未检测到三网骨干,-,-,-,97,100,90,0.9,59.5,88,100,15,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.7,33.0,33.0,33.0,0.0,NRT,日本东京,JP,50.7,52.5,1.5,3,8,8,42.8,52.5,57.7,56.8,56.1,32.5,54.6,52.4,11,,,unknown,未检测到三网骨干,-,-,-,97,100,90,1.6,59.5,88,100,15,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.169,34.0,34.0,34.0,0.0,NRT,日本东京,JP,58.3,65.4,20.6,4,8,8,53.4,65.4,31.9,77.1,76.9,52.9,55.7,53.0,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,7.6,59.5,88,50,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.73,35.5,35.0,36.0,0.0,NRT,日本东京,JP,50.1,55.4,27.2,4,8,8,77.6,55.4,54.7,44.8,53.5,43.5,35.9,35.5,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,5.5,59.5,88,50,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.233,35.5,35.0,36.0,0.0,NRT,日本东京,JP,54.0,54.0,1.6,4,8,8,54.4,54.0,54.8,54.8,54.6,54.6,52.5,52.0,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,1.0,59.5,88,100,15,40,100,premium,98,YES,YES,落地亚太(NRT)，适合优选,"稀有优质段: NRT落地, RTT=36ms, TCP均=54ms, 波动=3ms"
108.162.198.154,52.0,52.0,52.0,0.0,NRT,日本东京,JP,50.1,52.3,2.8,3,8,8,46.1,52.3,35.0,33.6,35.7,53.4,73.8,71.1,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,0.5,59.5,88,100,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.143,53.5,53.0,54.0,0.0,NRT,日本东京,JP,53.2,57.1,21.8,4,8,8,65.8,57.1,48.7,55.0,48.7,64.1,32.4,53.5,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,5.1,59.5,88,50,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
